--------------------------------------------------------------------------------------------------------------------------------
|   timestamp   |                                                   message                                                    |
|---------------|--------------------------------------------------------------------------------------------------------------|
| 1768282689831 | Starting Flask application on port 80                                                                        |
| 1768283008079 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768283008280 | Database initialized successfully                                                                            |
| 1768283020677 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768283020680 | Successfully connected to RDS database                                                                       |
| 1768283020686 | Note added successfully: first_note                                                                          |
| 1768283025362 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768283025364 | Successfully connected to RDS database                                                                       |
| 1768283025366 | Note added successfully: blue_book_gentlemen                                                                 |
| 1768283030780 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768283030782 | Successfully connected to RDS database                                                                       |
| 1768283030784 | Note added successfully: brazil_colombia_capeverde                                                           |
| 1768283035912 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768283035915 | Successfully connected to RDS database                                                                       |
| 1768283035917 | Note added successfully: this_is_200k_work                                                                   |
| 1768283036626 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768283036631 | Database initialized successfully                                                                            |
| 1768283040725 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768283040727 | Successfully connected to RDS database                                                                       |
| 1768283040729 | Note added successfully: lab_1c_is_a_success                                                                 |
| 1768283046068 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768283046072 | Successfully connected to RDS database                                                                       |
| 1768283046073 | Successfully retrieved 5 notes                                                                               |
| 1768283053459 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768283053463 | Successfully connected to RDS database                                                                       |
| 1768283053465 | Note added successfully: first_note                                                                          |
| 1768283075396 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768283075400 | Successfully connected to RDS database                                                                       |
| 1768283075401 | Successfully retrieved 6 notes                                                                               |
| 1768284955398 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768284955429 | Database initialization failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)") |
| 1768284962686 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768284962692 | Database connection failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")     |
| 1768284962693 | Failed to add note: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")             |
| 1768284966662 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768284966669 | Database connection failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")     |
| 1768284966670 | Failed to list notes: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")           |
| 1768285314532 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768285314550 | Database initialization failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)") |
| 1768285315574 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768285315579 | Database initialization failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)") |
| 1768285316433 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768285316442 | Database initialization failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)") |
| 1768285318508 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768285318513 | Database connection failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")     |
| 1768285318514 | Failed to add note: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")             |
| 1768285319440 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768285319447 | Database connection failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")     |
| 1768285319447 | Failed to add note: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")             |
| 1768285320234 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768285320267 | Database connection failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")     |
| 1768285320267 | Failed to add note: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")             |
| 1768285322702 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768285322709 | Database connection failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")     |
| 1768285322710 | Failed to list notes: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")           |
| 1768285323509 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768285323518 | Database connection failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")     |
| 1768285323518 | Failed to list notes: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")           |
| 1768285324373 | Successfully retrieved database credentials from Secrets Manager                                             |
| 1768285324384 | Database connection failed: (1045, "Access denied for user 'admin'@'10.240.0.27' (using password: YES)")     |
